funding_total_usd,funding_rounds,age,is_tech,success
35000000.0,1,22.0,1,1
5000000.0,1,16.0,1,1
150000.0,1,12.0,1,0
200000.0,1,16.0,1,0
110640466.0,9,30.0,1,1
8198838.0,4,24.0,0,1
4880000.0,1,26.0,0,0
5280000.0,1,27.0,1,1
120000.0,1,13.0,0,0
52422326.0,5,31.0,1,1
28000000.0,3,20.0,1,1
100000000.0,1,34.0,1,1
7300000.0,1,13.0,1,1
75000000.0,3,24.0,1,1
7974296.0,1,28.0,1,1
40000.0,1,14.0,1,1
116987.0,3,13.0,0,1
24000000.0,3,27.0,1,1
12300000.0,2,26.0,1,0
242563.0,1,11.0,0,0
58200000.0,5,26.0,1,1
22585000.0,2,22.0,1,1
13360000.0,2,14.0,1,0
1300000.0,1,16.0,0,1
16400000.0,4,18.0,1,0
214208700.0,10,27.0,1,1
5422959.0,1,41.0,1,1
10000000.0,2,20.0,0,1
28000000.0,3,26.0,0,1
2574004.0,2,17.0,0,1
45400000.0,1,50.0,1,0
17600000.0,3,21.0,1,1
50000.0,1,16.0,0,0
4549999.0,2,16.0,0,0
9000000.0,1,19.0,0,1
49500000.0,3,14.0,0,1
105000000.0,1,28.0,0,0
48500000.0,5,20.0,0,1
10000000.0,1,25.0,0,1
10350000.0,2,17.0,1,0
24020000.0,4,19.0,1,1
10000000.0,1,19.0,1,1
24845955.0,6,19.0,1,1
150000.0,1,12.0,0,0
40400000.0,4,23.0,0,1
100000.0,1,14.0,1,0
3500.0,1,17.0,0,0
2940000.0,1,19.0,1,1
119191000.0,7,22.0,0,1
10000000.0,3,19.0,0,1
114000000.0,3,21.0,1,1
4160600.0,2,14.0,1,0
5000000.0,1,30.0,0,1
3100000.0,1,23.0,1,1
1015000.0,2,15.0,1,1
2000000.0,1,16.0,0,0
12000.0,1,17.0,1,0
470000.0,2,16.0,0,1
300000.0,1,15.0,0,0
60000.0,1,12.0,1,0
10000.0,1,19.0,1,0
23000000.0,1,29.0,1,1
2900000.0,3,21.0,0,0
27000000.0,2,20.0,0,1
100000.0,2,17.0,0,1
256000.0,2,15.0,1,0
8500000.0,2,19.0,0,1
1540000.0,3,16.0,1,1
200000.0,1,12.0,1,0
600000.0,1,15.0,0,0
30000000.0,3,19.0,1,1
5000000.0,1,24.0,0,1
26000.0,1,14.0,0,0
46800000.0,4,20.0,1,1
5000000.0,1,15.0,0,1
55500000.0,3,24.0,1,1
29575000.0,5,21.0,1,1
18500000.0,2,27.0,0,1
56464869.0,5,17.0,0,1
1230000.0,2,19.0,0,1
17807000.0,4,20.0,0,1
1000000.0,1,18.0,1,0
20000000.0,1,19.0,1,1
100000.0,1,11.0,1,0
60000.0,1,12.0,0,0
1300000.0,1,18.0,0,1
100000.0,1,19.0,0,1
25500000.0,3,18.0,0,1
100000.0,1,13.0,0,0
33500000.0,2,23.0,1,1
12300000.0,2,19.0,1,0
10000000.0,1,34.0,1,1
31670000.0,2,21.0,0,0
16211800.0,1,25.0,0,1
500000.0,1,19.0,1,0
2000000.0,1,19.0,1,0
13000000.0,1,17.0,0,0
6000000.0,1,36.0,1,1
39700000.0,5,24.0,1,1
24000000.0,3,22.0,0,1
3500000.0,1,23.0,0,1
1000000.0,1,16.0,1,0
24997.0,1,15.0,0,0
351681.0,2,17.0,1,0
22800000.0,3,21.0,0,1
1400000.0,2,20.0,0,0
100000.0,1,56.0,0,0
8000000.0,1,26.0,0,1
5000000.0,1,28.0,1,1
40000000.0,3,27.0,1,1
396528.547243142,1,20.0,0,0
243000.0,1,59.0,0,0
49000000.0,4,27.0,1,1
120500000.0,5,22.0,1,0
6500000.0,1,22.0,0,1
150000.0,1,12.0,0,0
85000000.0,2,20.0,1,1
81800000.0,5,26.0,1,1
10500000.0,2,26.0,0,1
27500000.0,2,24.0,0,1
225000.0,1,14.0,0,0
1171300.0,1,26.0,1,1
50311.0,1,13.0,0,0
45000.0,1,11.0,0,0
74311925.0,8,20.0,0,1
50000.0,1,14.0,0,0
640000.0,1,15.0,1,0
25000.0,1,17.0,1,1
168000000.0,4,28.0,0,1
40000000.0,1,28.0,0,0
12265000.0,3,29.0,1,0
2000000.0,1,21.0,1,1
10000.0,1,12.0,0,0
57100000.0,4,31.0,1,1
81672000.0,1,22.0,0,0
7300000.0,1,12.0,0,0
29500000.0,3,24.0,1,1
17300000.0,2,26.0,1,1
7500000.0,2,19.0,0,1
10000000.0,1,20.0,0,0
25000000.0,1,27.0,1,1
27500000.0,2,27.0,1,1
14000000.0,1,25.0,1,1
929212.0,1,13.0,1,0
20000000.0,1,20.0,1,1
20000000.0,1,25.0,1,1
3675000.0,1,20.0,1,1
10500000.0,2,19.0,0,0
225000000.0,2,23.0,1,1
38809918.0,3,22.0,1,1
11500000.0,2,17.0,1,1
43000000.0,2,16.0,0,0
5045650.01145544,3,15.0,0,1
26100000.0,5,21.0,1,1
18705000.0,2,33.0,1,0
11300000.0,2,22.0,1,1
850000.0,2,16.0,1,1
1900000.0,1,20.0,0,0
53730000.0,5,21.0,1,1
10000000.0,1,27.0,0,1
46953358.0,6,21.0,0,1
30200000.0,2,23.0,1,1
6000000.0,1,59.0,0,0
7202144.0,2,49.0,1,1
2000000.0,1,21.0,1,1
4793666.0,1,22.0,1,0
50000.0,1,14.0,0,0
571520.0,1,19.0,1,1
9500000.0,2,15.0,1,0
400000000.0,1,45.0,1,1
10900000.0,1,57.0,0,0
5200000.0,1,28.0,1,1
6000000.0,1,25.0,1,1
125000000.0,1,13.0,0,0
100000.0,1,12.0,1,0
73000000.0,3,20.0,1,1
5000000.0,1,21.0,0,1
1500000.0,1,13.0,1,1
57262275.0,5,21.0,1,1
5400000.0,1,20.0,1,1
110000000.0,2,26.0,0,0
7000000.0,1,17.0,1,0
8135000.0,3,23.0,1,1
125000.0,2,16.0,0,0
220000.0,1,11.0,0,0
109000000.0,5,27.0,0,0
30000000.0,1,17.0,0,1
2000000.0,2,21.0,1,1
4276568.0,2,18.0,0,0
8500000.0,3,28.0,1,1
30550000.0,3,24.0,1,1
55000000.0,2,18.0,1,1
445000.0,1,15.0,1,0
1500000.0,1,19.0,1,1
40000.0,1,15.0,0,0
650000.0,3,16.0,0,0
250000.0,3,15.0,0,0
72000000.0,1,19.0,1,1
387996.0,1,15.0,0,0
10000.0,1,39.0,0,0
28000000.0,4,25.0,1,1
23000000.0,1,28.0,1,1
26600000.0,2,17.0,0,1
16000000.0,2,19.0,0,1
31000000.0,2,27.0,1,0
9499393.0,4,17.0,1,1
39999999.0,4,18.0,0,0
500000.0,1,12.0,0,0
15590000.0,3,18.0,0,1
650000.0,1,14.0,0,1
117994.0,2,14.0,0,0
12800000.0,2,21.0,1,0
76000000.0,4,23.0,0,1
592365.0,1,27.0,1,0
193727869.0,7,26.0,1,1
10750000.0,5,19.0,1,1
3000000.0,2,15.0,1,1
25000000.0,1,28.0,1,0
6000000.0,1,27.0,0,1
3740000.0,2,17.0,0,0
500000.0,1,11.0,0,0
10000000.0,1,26.0,0,0
2500000.0,1,21.0,1,0
2000000.0,1,15.0,0,1
9000000.0,1,37.0,1,1
3900000.0,2,15.0,1,1
450000.0,1,11.0,0,0
10000000.0,1,22.0,1,1
72000000.0,6,21.0,1,1
400000.0,2,16.0,1,0
248250.0,2,11.0,0,0
43000000.0,2,25.0,1,1
18000.0,1,18.0,1,0
44074955.0,6,18.0,1,1
14140433.0,3,37.0,1,0
467880.0,1,21.0,1,0
5000000.0,1,54.0,0,0
7500000.0,1,58.0,0,1
34600000.0,3,22.0,1,0
5550000.0,3,16.0,1,1
24300000.0,3,18.0,1,0
10000000.0,2,25.0,0,1
6000000.0,2,19.0,0,0
15000.0,1,15.0,0,0
9350000.0,2,26.0,0,1
75000000.0,1,20.0,1,1
29600000.0,4,30.0,0,0
400000.0,1,18.0,1,0
13600000.0,1,27.0,0,0
42000000.0,2,23.0,1,1
3536.0,1,12.0,0,0
225000.0,1,19.0,1,1
10375000.0,3,17.0,1,1
72000000.0,3,20.0,0,1
200000.0,1,16.0,0,0
1250016.0,1,30.0,1,0
6000000.0,1,13.0,1,1
384410000.0,9,27.0,1,1
307000.0,1,20.0,1,0
160000.0,2,15.0,1,0
48581364.0,4,28.0,1,1
7000000.0,1,25.0,0,0
187291.0,1,11.0,0,0
4800000.0,1,22.0,0,0
28306508.0,4,47.0,1,0
1199137.0,2,12.0,1,0
3200000.0,1,20.0,1,1
70000000.0,4,26.0,1,1
380000.0,1,14.0,0,0
4041700.0,2,22.0,0,0
1000000000.0,1,41.0,0,1
11000000.0,2,14.0,0,1
3853000.0,2,19.0,0,1
46420307.0,4,27.0,1,1
160279779.0,15,27.0,1,1
17200000.0,2,40.0,1,1
43500000.0,4,25.0,1,0
2900000.0,2,14.0,1,1
22579243.0,8,23.0,1,0
60100000.0,4,20.0,0,0
70000.0,3,22.0,1,0
250000.0,2,15.0,1,0
1700000.0,1,15.0,1,0
9600000.0,2,19.0,1,0
600000.0,2,16.0,1,0
4000000.0,1,19.0,1,1
161947.0,3,13.0,0,0
60000.0,1,14.0,1,0
120000.0,3,14.0,0,1
4100000.0,1,21.0,0,1
3180000.0,1,24.0,1,1
1800000.0,1,15.0,1,1
44250000.0,8,18.0,1,1
318627.0,1,15.0,1,1
5600000.0,3,18.0,1,1
12000000.0,1,25.0,1,1
500000.0,1,13.0,1,1
6034050.0,1,34.0,0,1
715000.0,3,19.0,1,1
10000000.0,1,25.0,1,1
122000.0,2,11.0,0,0
17000000.0,2,25.0,1,1
30300000.0,3,24.0,0,0
1358979.0,3,23.0,1,0
154000000.0,2,27.0,1,1
49770145.0,5,19.0,0,0
6000000.0,2,18.0,0,1
4000000.0,1,28.0,1,1
1000000.0,1,16.0,1,1
800000.0,1,17.0,1,1
50000.0,2,11.0,1,0
1800000.0,2,16.0,1,1
700000.0,1,16.0,1,1
800000.0,1,19.0,1,0
63000000.0,9,25.0,1,1
40000.0,1,17.0,0,0
7000000.0,2,20.0,1,0
8699999.0,4,17.0,1,1
13329915.0,4,18.0,0,0
1155000.0,2,16.0,1,1
30240000.0,3,25.0,0,1
1700000.0,3,15.0,1,1
618000.0,2,14.0,1,1
1350000.0,3,14.0,1,1
23660962.0,2,24.0,0,1
6250000.0,2,14.0,1,1
14500000.0,1,28.0,1,1
16100000.0,2,33.0,1,1
40000.0,1,15.0,0,0
13292327.0,2,19.0,1,1
56300000.0,4,23.0,0,0
1000000.0,2,15.0,1,1
5660000.0,1,43.0,1,1
4600000.0,2,19.0,1,1
1770000.0,1,20.0,1,1
16226758.0781003,3,26.0,1,0
20000000.0,1,22.0,0,0
99600000.0,4,20.0,0,1
122000000.0,4,17.0,1,1
25000000.0,1,21.0,0,1
16190000.0,2,27.0,1,1
20000000.0,1,24.0,0,0
15000000.0,2,21.0,1,1
99000000.0,1,22.0,1,1
125000000.0,7,30.0,0,1
250000.0,2,11.0,0,0
3000000.0,1,21.0,1,1
62000000.0,4,29.0,0,1
34060000.0,1,30.0,1,1
26914000.0,3,26.0,0,1
8000000.0,1,27.0,0,0
64080000.0,3,23.0,0,1
1565000.0,2,16.0,1,1
10450000.0,1,50.0,0,0
1750000.0,1,16.0,1,0
1100000.0,1,25.0,1,0
9513175.0,3,24.0,1,1
30000000.0,1,27.0,0,0
181860000.0,7,26.0,1,1
200000.0,1,11.0,1,0
622000.0,1,28.0,1,0
23500000.0,2,27.0,1,1
845075.0,2,17.0,1,0
1000000.0,1,17.0,0,0
7000000.0,2,30.0,1,1
54493.0,2,16.0,1,0
2000000.0,1,15.0,1,1
955000.0,2,21.0,1,1
195000.0,1,14.0,1,1
15564591.0,3,21.0,0,0
34898793.0,1,28.0,1,1
25000000.0,2,24.0,0,1
49000000.0,3,28.0,1,1
10000.0,1,19.0,0,0
50000.0,1,19.0,0,0
5250000.0,2,25.0,1,0
54302.0,1,14.0,1,1
7000000.0,2,16.0,1,1
1200000.0,2,18.0,0,0
161688.0,1,11.0,0,0
6883956.0,3,19.0,1,1
30000000.0,1,24.0,1,1
20047324.0,3,25.0,0,1
80000000.0,1,25.0,0,1
10000000.0,1,27.0,0,1
12155000.0,1,17.0,0,0
200000.0,1,22.0,1,0
2590000.0,1,29.0,1,1
5070000.0,2,14.0,0,0
39664050.0,2,30.0,1,1
20000000.0,1,23.0,1,1
6000.0,1,19.0,1,0
25000000.0,2,30.0,0,1
40000.0,1,11.0,1,0
136762.0,1,13.0,0,0
28000.0,2,13.0,1,1
20000000.0,1,41.0,0,1
4900000.0,1,23.0,1,1
3000000.0,1,26.0,1,1
5700000.0,2,17.0,1,1
5700000.0,1,19.0,0,1
5000000.0,1,21.0,1,0
12900000.0,2,26.0,0,1
22420000.0,1,27.0,1,0
53000000.0,4,21.0,1,1
50000000.0,1,23.0,0,1
1900000.0,2,18.0,1,1
5300000.0,1,29.0,1,1
300000.0,1,19.0,0,0
35860000.0,3,34.0,1,1
15000000.0,1,26.0,1,0
4000000.0,1,23.0,1,0
10000000.0,1,25.0,0,1
43500000.0,4,163.0,1,1
37673932.0,6,20.0,0,1
200000.0,1,15.0,1,0
8200000.0,2,21.0,1,1
300000.0,1,15.0,0,0
25000.0,1,1011.0,0,0
50000.0,1,17.0,1,0
39700000.0,1,39.0,1,0
400000.0,1,18.0,0,0
13700000.0,1,25.0,1,1
250000.0,1,20.0,0,1
46341484.0,6,25.0,1,1
410958.0,1,19.0,0,1
39200000.0,2,26.0,1,0
13000000.0,3,26.0,1,1
10000000.0,1,27.0,0,1
2500000.0,2,15.0,1,1
5000000.0,1,26.0,1,1
27200000.0,4,21.0,1,1
18000000.0,2,27.0,1,0
5500000.0,1,24.0,0,1
400000.0,2,19.0,1,1
5568600.0,1,17.0,1,1
250000.0,1,20.0,0,1
4500000.0,2,18.0,1,1
1250000.0,2,18.0,0,1
85000.0,2,15.0,0,0
30426151.0,4,27.0,0,1
80000.0,1,17.0,0,0
25000.0,1,11.0,1,0
4073365.0,4,15.0,1,0
90000.0,2,19.0,1,0
300000.0,1,15.0,1,0
7660000.0,2,18.0,0,0
98817742.0,10,25.0,1,1
3500000.0,1,33.0,0,1
22900000.0,2,28.0,0,1
27300000.0,3,28.0,1,1
5000000.0,1,21.0,0,0
21000000.0,2,27.0,0,0
1595790.0,2,18.0,0,0
33000000.0,2,29.0,1,1
3067000.0,3,14.0,1,1
2500000.0,1,11.0,0,0
10800000.0,3,19.0,1,1
34500000.0,3,25.0,0,0
10200000.0,2,14.0,0,0
53615099.0,7,21.0,1,1
875000.0,2,16.0,1,0
6000000.0,1,25.0,1,1
23800000.0,7,19.0,1,0
2500000.0,1,13.0,0,1
9000000.0,1,22.0,0,0
43000000.0,1,27.0,1,1
17000000.0,2,22.0,1,1
20200000.0,3,28.0,1,1
27000000.0,2,27.0,1,1
7500000.0,3,20.0,1,1
30000000.0,1,38.0,1,1
960000.0,2,15.0,0,0
15008402.0,2,16.0,1,0
9500000.0,2,21.0,1,0
28000000.0,4,22.0,1,1
5000000.0,1,20.0,0,1
1000000.0,1,14.0,0,0
440000.0,3,16.0,1,1
6250000.0,2,15.0,1,1
252000000.0,2,21.0,1,1
19044025.0,4,19.0,1,1
1800000.0,1,15.0,1,1
69900000.0,4,21.0,1,1
72300000.0,2,23.0,1,1
750000.0,1,21.0,1,0
750000.0,1,18.0,1,0
70930000.0,14,21.0,1,0
31500000.0,4,20.0,1,1
2500000.0,1,25.0,1,1
1342000000.0,5,18.0,0,1
2608000.0,4,18.0,1,0
6430000.0,1,26.0,1,0
9000000.0,1,31.0,1,0
100000.0,2,15.0,0,0
360000.0,6,14.0,0,0
20000000.0,1,21.0,0,1
21948190.0,4,12.0,1,1
3500000.0,1,14.0,0,1
59700.0,4,16.0,1,1
13800000.0,2,32.0,1,1
12000000.0,1,32.0,1,1
26000000.0,4,26.0,1,1
17650000.0,2,27.0,1,1
19400000.0,2,24.0,1,0
29449981.0,2,24.0,0,1
4000000.0,2,14.0,1,1
5843207.27154683,1,21.0,1,1
4025000.0,4,19.0,0,0
3000000.0,1,26.0,1,1
530000.0,2,16.0,0,0
21000000.0,1,23.0,1,0
15000000.0,1,21.0,1,1
15000297.0,2,22.0,1,1
683125.435492465,1,12.0,1,0
9715488.0,3,26.0,1,0
80000000.0,2,21.0,1,0
28100000.0,6,18.0,1,1
300000.0,1,21.0,0,0
11999999.0,3,24.0,0,1
7500000.0,2,21.0,0,1
9850000.0,3,21.0,0,0
2000000.0,1,21.0,0,1
1500000.0,1,16.0,1,0
6250000.0,3,20.0,0,1
500000.0,1,13.0,1,0
13200000.0,1,19.0,1,0
21100000.0,2,16.0,0,0
900000.0,2,16.0,0,0
2500000.0,2,16.0,0,1
37200000.0,3,27.0,0,1
100000.0,1,11.0,0,0
145000.0,1,17.0,0,1
1315000.0,4,18.0,0,1
40000.0,1,14.0,1,0
2000000.0,1,22.0,1,1
19525000.0,5,18.0,1,1
28561000.0,4,28.0,1,0
500000.0,1,14.0,0,0
1476100.0,1,19.0,0,0
22813005.0,2,29.0,0,1
50000.0,1,13.0,0,0
1500000.0,2,22.0,1,1
3550000.0,4,16.0,1,0
155000.0,1,19.0,0,0
871189.0,3,20.0,0,1
100000.0,1,19.0,1,0
6000000.0,1,34.0,0,0
8000000.0,1,29.0,0,0
375000.0,4,19.0,1,1
6000000.0,2,21.0,0,0
15290000.0,4,17.0,1,1
40000000.0,1,15.0,0,0
3550002.0,3,18.0,1,1
1700000.0,1,19.0,0,1
1854110.0,2,18.0,1,0
12000000.0,1,21.0,0,0
1200000.0,1,12.0,0,0
33200000.0,3,25.0,1,1
15000000.0,1,23.0,0,1
280000.0,1,16.0,1,0
14345752.0,2,19.0,1,0
1200000.0,2,16.0,0,1
43500000.0,3,16.0,0,1
130000.0,2,14.0,0,0
51200000.0,3,21.0,0,1
2000000.0,2,14.0,0,0
10000000.0,1,22.0,0,1
16000000.0,3,78.0,1,1
500000.0,1,17.0,1,0
938830.0,2,13.0,0,1
3000000.0,1,28.0,0,1
58000000.0,1,37.0,0,1
500000000.0,1,20.0,0,1
120000000.0,2,13.0,0,0
110000.0,1,11.0,0,0
500000.0,1,13.0,0,0
450000.0,1,17.0,1,0
15000000.0,1,21.0,0,1
97800000.0,5,23.0,0,1
37200000.0,4,22.0,0,1
100000.0,1,18.0,0,0
9522.0,1,16.0,0,0
11240000.0,1,32.0,0,1
400000.0,1,15.0,0,1
9500000.0,2,19.0,1,0
3250000.0,2,17.0,0,0
7216281.0,2,17.0,1,1
10000000.0,1,24.0,0,0
6500000.0,1,20.0,0,1
355000.0,1,14.0,1,1
500000.0,1,18.0,1,0
12000000.0,2,19.0,0,0
8000000.0,2,22.0,1,1
60900000.0,4,24.0,1,1
26499973.0,1,14.0,1,0
7000000.0,1,18.0,1,1
50000.0,1,15.0,1,0
13000000.0,1,27.0,1,1
250000.0,1,13.0,0,0
100.0,1,12.0,0,0
7000000.0,1,25.0,1,1
7157090.0,3,14.0,1,1
30826728.0,1,25.0,1,0
225000.0,2,19.0,0,0
12500000.0,3,15.0,0,0
1200000.0,1,26.0,0,1
12000000.0,2,22.0,1,0
7500000.0,2,18.0,1,1
20250000.0,3,25.0,0,1
26500000.0,4,25.0,1,1
12000000.0,1,25.0,0,1
30896.0,1,17.0,0,0
215.0,1,12.0,1,0
3450000.0,1,21.0,1,1
38930000.0,2,26.0,0,1
4225000.0,4,15.0,1,1
10000000.0,1,15.0,0,0
1025000.0,2,13.0,1,1
59063.0,2,19.0,0,1
10000.0,1,15.0,1,0
5000000.0,1,21.0,1,0
925000000.0,6,19.0,0,1
2000000.0,1,16.0,0,0
750000.0,1,19.0,0,0
3129890.45383412,4,16.0,0,0
500000.0,1,15.0,0,0
1700000.0,1,16.0,1,0
300000.0,1,18.0,0,1
10000000.0,1,27.0,1,1
100000.0,1,15.0,0,0
1200000.0,1,19.0,0,0
1050000.0,2,15.0,1,0
11988175.7201105,2,23.0,0,1
250000.0,1,17.0,1,0
3000000.0,1,12.0,0,0
500000.0,1,13.0,1,1
95244796.0,2,24.0,1,1
3425000.0,2,15.0,0,1
4715359.0,5,18.0,0,0
10600000.0,2,18.0,1,1
518000.0,2,23.0,1,0
360000.0,1,35.0,0,0
42000000.0,2,28.0,1,1
26400000.0,3,29.0,0,1
6000000.0,1,29.0,1,1
20750000.0,3,20.0,1,1
620000.0,1,15.0,1,0
600000.0,1,11.0,1,1
1100000.0,1,14.0,1,0
15260000.0,3,20.0,0,0
500000.0,1,19.0,1,0
16500000.0,3,16.0,0,1
7240000.0,4,19.0,1,0
100000000.0,3,26.0,0,1
9000000.0,2,18.0,1,0
10304545.0,4,16.0,0,1
38805883.0,6,26.0,0,1
19024912.0,5,20.0,1,0
7410000.0,1,30.0,1,0
70000000.0,2,36.0,1,1
7415000.0,6,26.0,1,0
26000000.0,1,23.0,1,1
196664126.0,9,29.0,1,0
250000.0,1,21.0,0,0
5000000.0,1,15.0,0,0
2600000.0,1,20.0,1,0
1500000.0,1,22.0,0,1
10000000.0,1,26.0,1,1
1400000.0,1,32.0,1,0
3978000.0,4,24.0,1,1
11187700.0,3,22.0,1,1
5000000.0,1,30.0,1,0
25328.2114061379,1,12.0,0,0
133314585.0,4,20.0,1,1
1100000.0,2,21.0,1,0
73000000.0,4,24.0,1,1
4788800.0,1,35.0,1,1
209999.0,1,15.0,1,1
21000000.0,4,26.0,1,1
1500000.0,1,15.0,0,0
130000.0,1,22.0,1,1
13300000.0,2,24.0,1,0
25000.0,1,11.0,0,0
6333407.0,2,16.0,1,1
45000.0,2,16.0,0,1
120000.0,2,13.0,0,0
8000000.0,1,23.0,0,1
25000.0,1,14.0,0,0
345000.0,1,18.0,0,0
250000.0,1,16.0,0,0
28500000.0,4,18.0,0,1
40000.0,1,14.0,1,1
200000.0,1,13.0,0,0
40000000.0,1,20.0,0,0
40000.0,1,11.0,0,0
9500000.0,2,27.0,0,1
28200000.0,3,21.0,0,1
59763076.0,5,21.0,0,1
2500000.0,2,16.0,0,1
2700000.0,2,14.0,1,0
300000.0,1,14.0,1,1
5926462.0,2,22.0,0,0
10000000.0,1,20.0,1,1
1000000.0,1,16.0,1,1
60200000.0,9,19.0,0,1
28000000.0,2,19.0,1,0
4400000.0,1,14.0,1,1
6600000.0,5,18.0,0,0
27300000.0,7,21.0,1,1
12931223.0,2,19.0,1,0
360000.0,2,11.0,0,0
500000.0,1,14.0,1,1
20000.0,1,20.0,1,0
15500000.0,3,21.0,1,1
3000000.0,1,20.0,0,1
12500.0,1,15.0,1,0
50000.0,1,17.0,1,0
4770000.0,4,15.0,1,0
51050000.0,4,16.0,0,1
500000.0,1,17.0,0,0
41431808.0,2,23.0,1,1
26600000.0,6,23.0,1,1
1310000.0,1,20.0,0,0
13400000.0,1,24.0,1,1
8605192.0,4,20.0,1,0
400000.0,1,11.0,0,0
4000000.0,1,24.0,0,0
221000000.0,7,28.0,1,1
20350000.0,4,18.0,0,1
16000000.0,2,25.0,0,0
50100000.0,4,19.0,0,1
37500000.0,2,14.0,1,1
12300000.0,2,20.0,0,1
300000.0,1,22.0,0,0
11500000.0,1,22.0,0,1
23400000.0,2,21.0,1,1
6000000.0,1,36.0,1,0
20300000.0,3,25.0,1,1
56900.0,1,14.0,0,0
37028546.0,4,27.0,1,1
10000000.0,1,15.0,1,1
3164047.0,3,24.0,0,1
39000000.0,4,24.0,1,1
13525000.0,3,19.0,1,1
40000.0,1,12.0,1,0
100000.0,1,11.0,0,0
59000.0,2,16.0,1,0
16000000.0,1,17.0,1,1
5000000.0,1,17.0,1,0
150852.0,1,12.0,0,0
250000.0,1,12.0,0,0
500000.0,1,12.0,0,0
25000.0,1,14.0,0,0
27800000.0,6,27.0,0,1
73000000.0,5,17.0,1,1
11000000.0,3,23.0,1,0
23100000.0,2,13.0,0,1
1500000.0,3,19.0,1,1
387700.0,1,18.0,0,0
260000.0,1,15.0,1,1
100000.0,1,11.0,0,0
500000.0,1,16.0,0,1
350000.0,1,17.0,1,0
4900000.0,2,26.0,1,1
10000000.0,1,25.0,0,1
3000000.0,2,14.0,0,1
578970.0,1,17.0,1,1
59500000.0,4,18.0,1,0
2000000.0,2,13.0,0,0
16400000.0,3,27.0,0,1
3100000.0,1,15.0,0,0
2000000.0,1,19.0,1,1
10286000.0,3,19.0,1,1
457048.0,1,22.0,1,0
6500000.0,2,16.0,0,1
25000.0,1,18.0,1,0
9700000.0,2,14.0,0,1
12000000.0,4,21.0,0,1
1500000.0,1,21.0,1,1
150000.0,1,17.0,1,1
26500000.0,3,22.0,1,1
3000000.0,1,14.0,0,1
13514000.0,4,21.0,1,1
81299969.0,6,22.0,1,1
12000000.0,1,26.0,0,0
10100000.0,2,36.0,1,1
3500000.0,1,19.0,0,1
69000000.0,2,19.0,1,1
2000000.0,1,15.0,1,1
49000000.0,3,16.0,1,1
27000000.0,3,19.0,0,1
180000.0,1,15.0,1,1
4380000.0,2,17.0,0,0
25025.0,1,15.0,0,0
17000000.0,2,17.0,0,0
799686.0,1,21.0,0,0
